customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV_proxy,AvgChargesPerYear,HighValueCustomer,ActiveServiceCount,TenureGroup,PriceSensitivity
7590-VHVEG,Female,0,Yes,No,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,358.20000000000005,0,1,0-1yr,14.925
5575-GNVDE,Male,0,No,No,34.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1936.3000000000002,666.8823529411765,0,3,2-4yr,14.2375
3668-QPYBK,Male,0,No,No,2.0,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,107.7,648.9000000000001,0,3,0-1yr,13.4625
7795-CFOCW,Male,0,No,No,45.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,1903.4999999999998,490.8666666666667,0,3,2-4yr,10.575
9237-HQITU,Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,141.4,909.9000000000001,1,1,0-1yr,35.35
9305-CDSKC,Female,0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,797.2,1230.75,1,5,0-1yr,16.608333333333334
1452-KIOVK,Male,0,No,Yes,22.0,Yes,Yes,,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1960.1999999999998,1063.309090909091,1,4,1-2yr,17.82
6713-OKOMC,Female,0,No,No,10.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,297.5,362.28,0,1,0-1yr,14.875
7892-POOKP,Female,0,Yes,No,28.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2934.4,1305.45,1,6,2-4yr,14.971428571428572
6388-TABGU,Male,0,No,Yes,62.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,3481.2999999999997,675.0870967741935,0,3,4-6yr,14.0375
9763-GRSKD,Male,0,Yes,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,649.35,542.2615384615385,0,2,1-2yr,16.650000000000002
7469-LKBCI,Male,0,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,303.2,245.10000000000002,0,1,1-2yr,9.475
8091-TTVAX,Male,0,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,5820.299999999999,1175.4,1,5,4-6yr,16.724999999999998
0280-XJGEX,Male,0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5081.3,1233.3795918367348,1,6,4-6yr,14.814285714285715
5129-JLPIS,Male,0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,,2686.05,No,,1289.304,0,6,2-4yr,
3655-SNQYZ,Female,0,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,7814.25,1373.0695652173913,1,8,4-6yr,12.583333333333334
8191-XWSZG,Female,0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,1073.8,236.06538461538463,0,1,4-6yr,10.325
9959-WOFKT,Male,0,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,7575.7,1247.7042253521126,1,6,4-6yr,15.242857142857144
4190-MFLUW,Female,0,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,552.0,634.02,0,3,0-1yr,13.8
4183-MYFRB,Female,0,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,,No,1891.05,,1,4,1-2yr,18.009999999999998
8779-QRDMV,Male,1,No,No,1.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,475.8,0,2,0-1yr,13.216666666666667
1680-VDCWW,Male,0,Yes,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,237.60000000000002,202.25,0,1,0-1yr,9.9
